data_type,id,name,address,lat,lng,cctv_purpose,cctv_count,cctv_pixel,install_ym,lamp_id,police_type,crime_year,crime_kill,crime_rob,crime_theft,crime_violence,lamp_type,dong_code,dong_name,sgg_code,is_gwanak
cctv,202632000000800127,서울특별시 관악구청,서울특별시 관악구 선봉어린이공원 (은천동 942-29),37.48509,126.9395,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800128,서울특별시 관악구청,서울특별시 관악구 해바라기어린이공원 (삼성동 321-5),37.46195,126.9303,기타,3.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
cctv,202632000000800129,서울특별시 관악구청,서울특별시 관악구 난우어린이공원 (미성동 1482-1),37.48019,126.9141,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800130,서울특별시 관악구청,서울특별시 관악구 난곡어린이공원 (미성동 1563-56),37.47403,126.9152,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800131,서울특별시 관악구청,서울특별시 관악구 낙성대지구 (낙성대동 산56-3),37.47573,126.9561,기타,3.0,200.0,,,,,,,,,,1162058500,낙성대동,11620,True
cctv,202632000000800132,서울특별시 관악구청,"서울특별시 관악구 관악산공원 (대학동 산32-23,야외식물원 주변 둘레길 입구)",37.46353,126.948,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800133,서울특별시 관악구청,서울특별시 관악구 난곡공원 (난향동 산105-12),37.46575,126.9172,기타,1.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800134,서울특별시 관악구청,서울특별시 관악구 생태체험길 입구 (삼성동 산68-2),37.46319,126.9337,기타,1.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
cctv,202632000000800135,서울특별시 관악구청,서울특별시 관악구 문성어린이공원#4(미성동 산 197-3),37.47774,126.9176,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800136,서울특별시 관악구청,서울특별시 관악구 안전한산책로#2(난향동 산 102-12),37.45766,126.9185,기타,1.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
cctv,202632000000800137,서울특별시 관악구청,서울특별시 관악구 안전한산책로#3(난향동 산 102-12),37.4575,126.9204,기타,1.0,200.0,,,,,,,,,,1162071500,난향동,11620,True
